1,الرَّحْمَنُ,Al Rahman,"The One Who Acts with Mercy;The Beneficent",He who wills goodness and mercy for all His creatures
2,الرَّحِيمُ,Al Rahim,The Source of Mercy,He who acts with extreme kindness
3,الْمَلِكُ,Al Malik,"The King; The Ruler;The Owner of the Dominion","The Sovereign Lord, The One with the complete Dominion, the One Whose Dominion is clear from imperfection"
4,الْقُدُّوسُ,Al Quddus,The Holy One; The Sacred One,The One who is pure from any imperfection and clear from children and adversaries
5,السَّلاَمُ,Al Salaam,The Place and Source of Peace,The One who is free from every imperfection.
6,الْمُؤْمِنُ,Al Mu’min,The Source of Certainty,The One who witnessed for Himself that no one is God but Him. And He witnessed for His believers that they are truthful in their belief that no one is God but Him
7,الْمُهَيْمِنُ,Al Muhaymin,"The Protector; The Guardian;The Giver of Security",The One who witnesses the saying and deeds of His creatures
8,الْعَزِيزُ,Al `Aziz,"The Most Precious One;The Revered One; The Most Valued One;The One Mighty with Benevolence ","The Strong, The Defeater who is not defeated"
9,الْجَبَّارُ,Al Jabbar,"The Compeller;The Magnetic Force",The One that nothing happens in His Dominion except that which He willed
10,الْمُتَكَبِّرُ,Al Mutakabbir,The Possessor of Greatness ,The One who is clear from the attributes of the creatures and from resembling them.
11,الْخَالِقُ,Al Khaliq,The Creator,The One who brings everything from non-existence to existence
12,الْبَارِئُ,Al Bari,The Shaper,"The Maker, The Creator who has the Power to turn the entities."
13,الْمُصَوِّرُ,Al Musawwir,The Detailer,The One who forms His creatures in different pictures.
14,الْغَفَّارُ,Al Ghaffar,The Oft-Absolving One ,"The Forgiver, The One who forgives the sins of His slaves time and time again."
15,الْقَهَّارُ,Al Qahhar,The Overpowering One,"The Dominant, The One who has the perfect Power and is not unable over anything."
16,الْوَهَّابُ,Al Wahhab,The Bestower,The One who is Generous in giving plenty without any return. He is everything that benefits whether Halal or Haram.
17,الرَّزَّاقُ,Al Razzaq,The Provider; The Sustainer,"The Sustainer, The Provider."
18,الْفَتَّاحُ,Al Fattah,The Opener,"The Opener, The Reliever, The Judge, The One who opens for His slaves the closed worldly and religious matters."
19,اَلْعَلِيْمُ,Al `Alim,The All-Knowing One,The Knowledgeable; The One nothing is absent from His knowledge
20,الْقَابِضُ,Al Qabid,The Constrictor,"The Constrictor, The Withholder, The One who constricts the sustenance by His wisdom and expands and widens it with His Generosity and Mercy."
21,الْبَاسِطُ,Al Basit,The Expander,"The Englarger, The One who constricts the sustenance by His wisdom and expands and widens it with His Generosity and Mercy."
22,الْخَافِضُ,Al Khafid,The Abaser,"The Abaser, The One who lowers whoever He willed by His Destruction and raises whoever He willed by His Endowment."
23,الرَّافِعُ,Al Rafi’,The Exalter,"The Exalter, The Elevator, The One who lowers whoever He willed by His Destruction and raises whoever He willed by His Endowment."
24,الْمُعِزُّ,Al Mu’izz,"The One Who Raises in Esteem; The Bestower of Honor;The Upgrader","He gives esteem to whoever He willed, hence there is no one to degrade Him; And He degrades whoever He willed, hence there is no one to give Him esteem."
25,المُذِلُّ,Al Mudhill,"The One Who Lowers in Esteem; The One Who Abases;The Downgrader","The Dishonourer, The Humiliator, He gives esteem to whoever He willed, hence there is no one to degrade Him; And He degrades whoever He willed, hence there is no one to give Him esteem."
26,السَّمِيعُ,Al Sami’,The Hearer; The Listener ,"The Hearer, The One who Hears all things that are heard by His Eternal Hearing without an ear, instrument or organ."
27,الْبَصِيرُ,Al Basir,The Seer,"The All-Noticing, The One who Sees all things that are seen by His Eternal Seeing without a pupil or any other instrument."
28,الْحَكَمُ,Al Hakam,The Judge; The Mediator,"The Judge, He is the Ruler and His judgment is His Word."
29,الْعَدْلُ,Al `Adl,The Just One,"The Just, The One who is entitled to do what He does."
30,اللَّطِيفُ,Al Latif,The Subtle and Kind One,"The Subtle One, The Gracious, The One who is kind to His slaves and endows upon them."
31,الْخَبِيرُ,Al Khabir,The All-Aware One,The One who knows the truth of things.
32,الْحَلِيمُ,Al Halim,"The Soft and Gentle One Who Gives Ease ","The Forebearing, The One who delays the punishment for those who deserve it and then He might forgive them."
33,الْعَظِيمُ,Al `Azim,"The Magnificent One; The One High in Might;The Tremendous One","The Great One, The Mighty, The One deserving the attributes of Exaltment, Glory, Extolement, and Purity from all imperfection."
34,الْغَفُورُ,Al Ghafur,"The Absolver of Sins; The Tolerant One","The All-Forgiving, The Forgiving, The One who forgives a lot."
35,الشَّكُورُ,Al Shakur,The Source of Gratitude,"The Grateful, The Appreciative, The One who gives a lot of reward for a little obedience."
36,الْعَلِيُّ,Al `Ali, The High and Exalted One,"The Most High, The One who is clear from the attributes of the creatures."
37,الْكَبِيرُ,Al Kabir,The Incomparably Great One,"The Most Great, The Great, The One who is greater than everything in status."
38,الْحَفِيظُ,Al Hafiz,The Preserver and Protector ,"The Preserver, The Protector, The One who protects whatever and whoever He willed to protect."
39,المُقيِت,Al Muqit,The Caretaker,"The Maintainer, The Guardian, The Feeder, The One who has the Power."
40,الْحسِيبُ,Al Hasib,"The One Who Keeps Accounts and Measures of All Things;The Accountant; The Reckoner","The Reckoner, The One who gives the satisfaction."
41,الْجَلِيلُ,Al Jalil,The Mighty One ,"The Sublime One, The Beneficent, The One who is attributed with greatness of Power and Glory of status."
42,الْكَرِيمُ,Al Karim,"The Generous One; The Honorable One ","The Generous One, The Gracious, The One who is attributed with greatness of Power and Glory of status."
43,الرَّقِيبُ,Al Raqib,"The Vigilant Supervisor; The Monitor","The Watcher, The One that nothing is absent from Him. Hence it’s meaning is related to the attribute of Knowledge."
44,الْمُجِيبُ,Al Mujib,The Responsive One,"The Responsive, The Hearkener, The One who answers the one in need if he asks Him and rescues the yearner if he calls upon Him."
45,الْوَاسِعُ,Al Wasi’,"The Expansive One; The One Who Is Limitless In Every Way ","The Vast, The All-Embracing, The Knowledgeable."
46,الْحَكِيمُ,Al Hakim,The Wise One,"The Wise, The Judge of Judges, The One who is correct in His doings."
47,الْوَدُودُ,Al Wadud,The Loving One,The One who loves His believing slaves and His believing slaves love Him. His love to His slaves is His Will to be merciful to them and praise them
48,الْمَجِيدُ,Al Majid,The Majestic One,"The Most Glorious One, The One who is with perfect Power, High Status, Compassion, Generosity and Kindness."
49,الْبَاعِثُ,Al Ba’ith,The Resurrector,"The Resurrector, The Raiser (from death), The One who resurrects His slaves after death for reward and/or punishment."
50,الشَّهِيدُ,Al Shahid,The Witness,"The Witness, The One who nothing is absent from Him."
51,الْحَقُّ,Al Haqq,"The Truth; The Just One; The True One; The Reality ","The Truth, The True, The One who truly exists."
52,الْوَكِيلُ,Al Wakil,"The Trustee; The Representative; The Guardian","The Trustee, The One who gives the satisfaction and is relied upon."
53,الْقَوِيُّ,Al Qawi,The Strong One,"The Most Strong, The Strong, The One with the complete Power"
54,الْمَتِينُ,Al Matin,The Enduring One,The One with extreme Power which is un-interrupted and He does not get tired.
